loan_id,customer_id,loan_type,amount,interest_rate,status,start_date
501,101,Personal,15000.00,5.5,Approved,2023-02-01
502,103,Home,250000.00,3.8,Approved,2023-02-02
503,105,Auto,22000.00,4.2,Approved,2023-02-03
504,107,Personal,8000.00,6.1,Pending,2023-02-04
505,109,Home,310000.00,3.5,Approved,2023-02-05
506,111,Auto,18000.00,4.8,Approved,2023-02-06
507,113,Personal,5000.00,7.0,Rejected,2023-02-07
508,115,Home,190000.00,4.0,Approved,2023-02-08
509,117,Auto,27000.00,4.1,Approved,2023-02-09
510,119,Personal,12000.00,5.8,Approved,2023-02-10
511,121,Home,420000.00,3.2,Approved,2023-02-11
512,123,Auto,15000.00,5.0,Pending,2023-02-12
513,125,Personal,20000.00,5.2,Approved,2023-02-13
514,127,Home,280000.00,3.9,Approved,2023-02-14
515,129,Auto,30000.00,3.8,Approved,2023-02-15
516,131,Personal,6000.00,6.5,Approved,2023-02-16
517,133,Home,220000.00,4.1,Approved,2023-02-17
518,135,Auto,14000.00,4.9,Rejected,2023-02-18
519,137,Personal,10000.00,5.9,Approved,2023-02-19
520,139,Home,350000.00,3.6,Approved,2023-02-20
521,141,Auto,25000.00,4.3,Approved,2023-02-21
522,143,Personal,16000.00,5.4,Approved,2023-02-22
523,145,Home,175000.00,4.2,Pending,2023-02-23
524,147,Auto,21000.00,4.5,Approved,2023-02-24
525,149,Personal,9000.00,6.2,Approved,2023-02-25
526,102,Home,290000.00,3.7,Approved,2023-02-26
527,104,Auto,19000.00,4.7,Approved,2023-02-27
528,106,Personal,11000.00,5.6,Approved,2023-02-28
529,108,Home,330000.00,3.4,Approved,2023-03-01
530,110,Auto,16000.00,5.1,Rejected,2023-03-02
531,112,Personal,13000.00,5.7,Approved,2023-03-03
532,114,Home,240000.00,4.0,Approved,2023-03-04
533,116,Auto,28000.00,4.0,Approved,2023-03-05
534,118,Personal,7000.00,6.4,Approved,2023-03-06
535,120,Home,380000.00,3.3,Approved,2023-03-07
536,122,Auto,17000.00,4.8,Pending,2023-03-08
537,124,Personal,14000.00,5.5,Approved,2023-03-09
538,126,Home,260000.00,3.8,Approved,2023-03-10
539,128,Auto,23000.00,4.4,Approved,2023-03-11
540,130,Personal,8500.00,6.0,Approved,2023-03-12
541,132,Home,300000.00,3.6,Approved,2023-03-13
542,134,Auto,20000.00,4.6,Approved,2023-03-14
543,136,Personal,17000.00,5.3,Approved,2023-03-15
544,138,Home,210000.00,4.1,Pending,2023-03-16
545,140,Auto,26000.00,4.2,Approved,2023-03-17
546,142,Personal,9500.00,6.1,Approved,2023-03-18
547,144,Home,340000.00,3.5,Approved,2023-03-19
548,146,Auto,15500.00,4.9,Rejected,2023-03-20
549,148,Personal,12500.00,5.8,Approved,2023-03-21
550,150,Home,275000.00,3.9,Approved,2023-03-22
