card_id,customer_id,card_type,credit_limit,status,issued_date
901,101,Visa Rewards,5000.00,Active,2023-01-10
902,102,Mastercard Platinum,10000.00,Active,2023-01-11
903,103,Visa Gold,7500.00,Active,2023-01-12
904,104,Amex Preferred,12000.00,Blocked,2023-01-13
905,105,Visa Rewards,3000.00,Active,2023-01-14
906,106,Mastercard Black,20000.00,Active,2023-01-15
907,107,Visa Gold,6000.00,Active,2023-01-16
908,108,Amex Preferred,8500.00,Active,2023-01-17
909,109,Visa Rewards,15000.00,Active,2023-01-18
910,110,Mastercard Platinum,4000.00,Blocked,2023-01-19
911,111,Visa Gold,9000.00,Active,2023-01-20
912,112,Amex Preferred,11000.00,Active,2023-01-21
913,113,Visa Rewards,2500.00,Active,2023-01-22
914,114,Mastercard Black,25000.00,Active,2023-01-23
915,115,Visa Gold,7000.00,Active,2023-01-24
916,116,Amex Preferred,9500.00,Active,2023-01-25
917,117,Visa Rewards,18000.00,Active,2023-01-26
918,118,Mastercard Platinum,3500.00,Blocked,2023-01-27
919,119,Visa Gold,8000.00,Active,2023-01-28
920,120,Amex Preferred,10500.00,Active,2023-01-29
921,121,Visa Rewards,14000.00,Active,2023-01-30
922,122,Mastercard Platinum,5500.00,Active,2023-01-31
923,123,Visa Gold,6500.00,Active,2023-02-01
924,124,Amex Preferred,13000.00,Active,2023-02-02
925,125,Visa Rewards,22000.00,Active,2023-02-03
926,126,Mastercard Black,17000.00,Active,2023-02-04
927,127,Visa Gold,4500.00,Active,2023-02-05
928,128,Amex Preferred,8000.00,Blocked,2023-02-06
929,129,Visa Rewards,16000.00,Active,2023-02-07
930,130,Mastercard Platinum,6000.00,Active,2023-02-08
931,131,Visa Gold,10000.00,Active,2023-02-09
932,132,Amex Preferred,7500.00,Active,2023-02-10
933,133,Visa Rewards,3500.00,Active,2023-02-11
934,134,Mastercard Black,30000.00,Active,2023-02-12
935,135,Visa Gold,5000.00,Blocked,2023-02-13
936,136,Amex Preferred,14500.00,Active,2023-02-14
937,137,Visa Rewards,8500.00,Active,2023-02-15
938,138,Mastercard Platinum,9000.00,Active,2023-02-16
939,139,Visa Gold,21000.00,Active,2023-02-17
940,140,Amex Preferred,4000.00,Active,2023-02-18
941,141,Visa Rewards,11500.00,Active,2023-02-19
942,142,Mastercard Platinum,6500.00,Active,2023-02-20
943,143,Visa Gold,13500.00,Active,2023-02-21
944,144,Amex Preferred,15500.00,Active,2023-02-22
945,145,Visa Rewards,7000.00,Active,2023-02-23
946,146,Mastercard Black,28000.00,Blocked,2023-02-24
947,147,Visa Gold,12500.00,Active,2023-02-25
948,148,Amex Preferred,9000.00,Active,2023-02-26
949,149,Visa Rewards,19000.00,Active,2023-02-27
950,150,Mastercard Platinum,8000.00,Active,2023-02-28
