account_id,customer_id,account_type,balance,status,opened_date
1001,101,Savings,5400.50,Active,2023-01-01
1002,102,Checking,1200.00,Active,2023-01-02
1003,103,Savings,8900.75,Active,2023-01-03
1004,104,Checking,350.25,Inactive,2023-01-04
1005,105,Savings,12500.00,Active,2023-01-05
1006,106,Checking,4300.10,Active,2023-01-06
1007,107,Savings,670.00,Active,2023-01-07
1008,108,Checking,2100.80,Active,2023-01-08
1009,109,Savings,15400.00,Active,2023-01-09
1010,110,Checking,890.50,Inactive,2023-01-10
1011,111,Savings,3400.00,Active,2023-01-11
1012,112,Checking,7600.20,Active,2023-01-12
1013,113,Savings,120.00,Active,2023-01-13
1014,114,Checking,9800.45,Active,2023-01-14
1015,115,Savings,4500.00,Active,2023-01-15
1016,116,Checking,2300.00,Active,2023-01-16
1017,117,Savings,11200.60,Active,2023-01-17
1018,118,Checking,540.30,Inactive,2023-01-18
1019,119,Savings,8700.00,Active,2023-01-19
1020,120,Checking,3100.90,Active,2023-01-20
1021,121,Savings,6500.00,Active,2023-01-21
1022,122,Checking,1400.50,Active,2023-01-22
1023,123,Savings,9200.00,Active,2023-01-23
1024,124,Checking,800.15,Active,2023-01-24
1025,125,Savings,17500.00,Active,2023-01-25
1026,126,Checking,2900.00,Active,2023-01-26
1027,127,Savings,4100.70,Active,2023-01-27
1028,128,Checking,620.00,Inactive,2023-01-28
1029,129,Savings,13400.00,Active,2023-01-29
1030,130,Checking,5100.25,Active,2023-01-30
1031,131,Savings,7800.00,Active,2023-01-31
1032,132,Checking,1900.80,Active,2023-02-01
1033,133,Savings,2200.00,Active,2023-02-02
1034,134,Checking,8400.60,Active,2023-02-03
1035,135,Savings,310.00,Inactive,2023-02-04
1036,136,Checking,10500.00,Active,2023-02-05
1037,137,Savings,4900.40,Active,2023-02-06
1038,138,Checking,2700.00,Active,2023-02-07
1039,139,Savings,16200.00,Active,2023-02-08
1040,140,Checking,1500.50,Active,2023-02-09
1041,141,Savings,6800.00,Active,2023-02-10
1042,142,Checking,930.20,Active,2023-02-11
1043,143,Savings,11800.00,Active,2023-02-12
1044,144,Checking,3800.75,Active,2023-02-13
1045,145,Savings,5200.00,Active,2023-02-14
1046,146,Checking,740.00,Inactive,2023-02-15
1047,147,Savings,14100.00,Active,2023-02-16
1048,148,Checking,2600.30,Active,2023-02-17
1049,149,Savings,8300.00,Active,2023-02-18
1050,150,Checking,4200.90,Active,2023-02-19
