transaction_id,account_id,txn_type,amount,txn_timestamp
TXN10001,1001,Deposit,500.00,2023-03-01 10:00:00
TXN10002,1002,Withdrawal,100.00,2023-03-01 10:15:00
TXN10003,1003,Transfer,250.00,2023-03-01 10:30:00
TXN10004,1004,Withdrawal,50.00,2023-03-01 10:45:00
TXN10005,1005,Deposit,1200.00,2023-03-01 11:00:00
TXN10006,1006,Transfer,75.50,2023-03-01 11:15:00
TXN10007,1007,Deposit,300.00,2023-03-01 11:30:00
TXN10008,1008,Withdrawal,200.00,2023-03-01 11:45:00
TXN10009,1009,Deposit,1500.00,2023-03-01 12:00:00
TXN10010,1010,Withdrawal,40.00,2023-03-01 12:15:00
TXN10011,1011,Deposit,600.00,2023-03-01 12:30:00
TXN10012,1012,Transfer,180.00,2023-03-01 12:45:00
TXN10013,1013,Deposit,100.00,2023-03-01 13:00:00
TXN10014,1014,Withdrawal,500.00,2023-03-01 13:15:00
TXN10015,1015,Deposit,800.00,2023-03-01 13:30:00
TXN10016,1016,Transfer,320.00,2023-03-01 13:45:00
TXN10017,1017,Deposit,2500.00,2023-03-01 14:00:00
TXN10018,1018,Withdrawal,90.00,2023-03-01 14:15:00
TXN10019,1019,Deposit,450.00,2023-03-01 14:30:00
TXN10020,1020,Transfer,110.00,2023-03-01 14:45:00
TXN10021,1021,Deposit,700.00,2023-03-01 15:00:00
TXN10022,1022,Withdrawal,150.00,2023-03-01 15:15:00
TXN10023,1023,Deposit,1100.00,2023-03-01 15:30:00
TXN10024,1024,Transfer,60.00,2023-03-01 15:45:00
TXN10025,1025,Deposit,3000.00,2023-03-01 16:00:00
TXN10026,1026,Withdrawal,220.00,2023-03-01 16:15:00
TXN10027,1027,Deposit,850.00,2023-03-01 16:30:00
TXN10028,1028,Withdrawal,30.00,2023-03-01 16:45:00
TXN10029,1029,Deposit,1400.00,2023-03-01 17:00:00
TXN10030,1030,Transfer,400.00,2023-03-01 17:15:00
TXN10031,1031,Deposit,950.00,2023-03-01 17:30:00
TXN10032,1032,Withdrawal,120.00,2023-03-01 17:45:00
TXN10033,1033,Deposit,350.00,2023-03-01 18:00:00
TXN10034,1034,Transfer,600.00,2023-03-01 18:15:00
TXN10035,1035,Withdrawal,80.00,2023-03-01 18:30:00
TXN10036,1036,Deposit,2000.00,2023-03-01 18:45:00
TXN10037,1037,Transfer,140.00,2023-03-01 19:00:00
TXN10038,1038,Withdrawal,250.00,2023-03-01 19:15:00
TXN10039,1039,Deposit,1800.00,2023-03-01 19:30:00
TXN10040,1040,Transfer,95.00,2023-03-01 19:45:00
TXN10041,1041,Deposit,500.00,2023-03-01 20:00:00
TXN10042,1042,Withdrawal,70.00,2023-03-01 20:15:00
TXN10043,1043,Deposit,1300.00,2023-03-01 20:30:00
TXN10044,1044,Transfer,210.00,2023-03-01 20:45:00
TXN10045,1045,Deposit,650.00,2023-03-01 21:00:00
TXN10046,1046,Withdrawal,100.00,2023-03-01 21:15:00
TXN10047,1047,Deposit,1700.00,2023-03-01 21:30:00
TXN10048,1048,Transfer,310.00,2023-03-01 21:45:00
TXN10049,1049,Deposit,900.00,2023-03-01 22:00:00
TXN10050,1050,Withdrawal,180.00,2023-03-01 22:15:00
